rank,project_id,project_weight,sla_risk,employee_id,estimated_people,skill_staffing,employee_name,semantic_match,effective_hours,projected_utilization,final_score,decision,reason
1,java_backend_demo,76595.13,41.33,0,3,"{""Java"": 2, ""Spring"": 1}",0,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
2,java_backend_demo,76595.13,41.33,037d7babd501f4c0,3,"{""Java"": 2, ""Spring"": 1}",037d7babd501f4c0,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
3,java_backend_demo,76595.13,41.33,03e87031715ab1fe,3,"{""Java"": 2, ""Spring"": 1}",03e87031715ab1fe,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
4,java_backend_demo,76595.13,41.33,049338bc9aa70eea,3,"{""Java"": 2, ""Spring"": 1}",049338bc9aa70eea,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
5,java_backend_demo,76595.13,41.33,089050b6a11a41d0,3,"{""Java"": 2, ""Spring"": 1}",089050b6a11a41d0,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
6,java_backend_demo,76595.13,41.33,095461b95e3ddcf8,3,"{""Java"": 2, ""Spring"": 1}",095461b95e3ddcf8,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
7,java_backend_demo,76595.13,41.33,09567c5893ce64a2,3,"{""Java"": 2, ""Spring"": 1}",09567c5893ce64a2,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
8,java_backend_demo,76595.13,41.33,096bd41320e43e64,3,"{""Java"": 2, ""Spring"": 1}",096bd41320e43e64,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
9,java_backend_demo,76595.13,41.33,096d7e0c0fbeea99,3,"{""Java"": 2, ""Spring"": 1}",096d7e0c0fbeea99,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
10,java_backend_demo,76595.13,41.33,0b7e0eb7a6bb007b,3,"{""Java"": 2, ""Spring"": 1}",0b7e0eb7a6bb007b,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
11,java_backend_demo,76595.13,41.33,0b90c75a0ce3d65f,3,"{""Java"": 2, ""Spring"": 1}",0b90c75a0ce3d65f,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
12,java_backend_demo,76595.13,41.33,0c543583203513ab,3,"{""Java"": 2, ""Spring"": 1}",0c543583203513ab,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
13,java_backend_demo,76595.13,41.33,0c7ad2377e5964fb,3,"{""Java"": 2, ""Spring"": 1}",0c7ad2377e5964fb,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
14,java_backend_demo,76595.13,41.33,0edc9631697f7373,3,"{""Java"": 2, ""Spring"": 1}",0edc9631697f7373,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
15,java_backend_demo,76595.13,41.33,0fa54380b64d6a8a,3,"{""Java"": 2, ""Spring"": 1}",0fa54380b64d6a8a,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
16,java_backend_demo,76595.13,41.33,1,3,"{""Java"": 2, ""Spring"": 1}",1,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
17,java_backend_demo,76595.13,41.33,10,3,"{""Java"": 2, ""Spring"": 1}",10,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
18,java_backend_demo,76595.13,41.33,100,3,"{""Java"": 2, ""Spring"": 1}",100,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
19,java_backend_demo,76595.13,41.33,101,3,"{""Java"": 2, ""Spring"": 1}",101,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
20,java_backend_demo,76595.13,41.33,102,3,"{""Java"": 2, ""Spring"": 1}",102,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
21,java_backend_demo,76595.13,41.33,103,3,"{""Java"": 2, ""Spring"": 1}",103,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
22,java_backend_demo,76595.13,41.33,104,3,"{""Java"": 2, ""Spring"": 1}",104,0.0,20.0,2.0,0.2325,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 20.0 hours, and current utilization 0%."
