rank,project_id,project_weight,sla_risk,employee_id,estimated_people,skill_staffing,employee_name,semantic_match,effective_hours,projected_utilization,final_score,decision,reason
1,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_004,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 004,0.0139,34.37,3.33,0.2317,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 34.37 hours, and current utilization 13%."
2,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_010,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 010,0.0142,28.08,4.1,0.225,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 28.08 hours, and current utilization 10%."
3,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_049,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 049,0.0142,27.41,4.11,0.223,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 27.41 hours, and current utilization 11%."
4,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_016,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 016,0.0144,29.85,4.18,0.2199,ranked_candidate,"Ranked using semantic match 0.0144, effective capacity 29.85 hours, and current utilization 18%."
5,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_001,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 001,0.0142,26.14,4.14,0.218,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 26.14 hours, and current utilization 14%."
6,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_013,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 013,0.0139,33.58,3.47,0.2164,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 33.58 hours, and current utilization 27%."
7,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_015,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 015,0.0139,24.01,5.4633,0.2155,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 24.01 hours, and current utilization 13%."
8,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_030,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 030,0.0139,23.48,5.4733,0.2137,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 23.48 hours, and current utilization 14%."
9,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_006,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 006,0.0142,21.36,5.4433,0.2135,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 21.36 hours, and current utilization 11%."
10,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_008,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 008,0.0142,23.94,5.4933,0.2125,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 23.94 hours, and current utilization 16%."
11,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_027,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 027,0.0142,30.26,3.52,0.2064,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 30.26 hours, and current utilization 32%."
12,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_032,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 032,0.0139,22.32,5.5333,0.2059,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 22.32 hours, and current utilization 20%."
13,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_048,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 048,0.0144,20.88,5.5333,0.2039,ranked_candidate,"Ranked using semantic match 0.0144, effective capacity 20.88 hours, and current utilization 20%."
14,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_042,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 042,0.0139,18.95,5.5233,0.2016,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 18.95 hours, and current utilization 19%."
15,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_009,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 009,0.0139,24.71,4.29,0.2006,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 24.71 hours, and current utilization 29%."
16,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_019,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 019,0.0144,22.2,4.26,0.1999,ranked_candidate,"Ranked using semantic match 0.0144, effective capacity 22.2 hours, and current utilization 26%."
17,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_024,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 024,0.0142,23.33,4.28,0.1996,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 23.33 hours, and current utilization 28%."
18,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_011,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 011,0.0139,24.48,4.32,0.1972,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 24.48 hours, and current utilization 32%."
19,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_043,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 043,0.0142,24.92,4.33,0.1971,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 24.92 hours, and current utilization 33%."
20,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_035,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 035,0.0139,24.21,4.32,0.1968,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 24.21 hours, and current utilization 32%."
21,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_031,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 031,0.0142,19.54,5.5933,0.1957,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 19.54 hours, and current utilization 26%."
22,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_014,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 014,0.0139,18.01,5.5733,0.1951,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 18.01 hours, and current utilization 24%."
23,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_023,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 023,0.0142,23.32,4.33,0.1946,ranked_candidate,"Ranked using semantic match 0.0142, effective capacity 23.32 hours, and current utilization 33%."
24,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_018,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 018,0.0144,24.64,3.56,0.1938,ranked_candidate,"Ranked using semantic match 0.0144, effective capacity 24.64 hours, and current utilization 36%."
25,java_recruitment_backend_cpu_v1,16758.44,44.82,emp_text_046,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",emp text 046,0.0139,17.1,5.5833,0.1927,ranked_candidate,"Ranked using semantic match 0.0139, effective capacity 17.1 hours, and current utilization 25%."
