rank,project_id,project_weight,sla_risk,employee_id,estimated_people,skill_staffing,employee_name,semantic_match,effective_hours,projected_utilization,final_score,decision,reason
1,proj_ecommerce_overhaul,97502.13,32.56,EMP-005,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Priya Sharma,0.2432,35.2,9.5,0.3719,ranked_candidate,"Ranked using semantic match 0.2432, effective capacity 35.2 hours, and current utilization 0%."
2,proj_ecommerce_overhaul,97502.13,32.56,EMP-393_java_developer_resume,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",EMP 393 java developer resume,0.2376,0.0,0.0,0.3457,ranked_candidate,"Ranked using semantic match 0.2376, effective capacity 0.0 hours, and current utilization 0%."
3,proj_ecommerce_overhaul,97502.13,32.56,EMP-466_java_developer_resume,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",EMP 466 java developer resume,0.2376,0.0,0.0,0.3457,ranked_candidate,"Ranked using semantic match 0.2376, effective capacity 0.0 hours, and current utilization 0%."
4,proj_ecommerce_overhaul,97502.13,32.56,EMP-474_java_developer_resume,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",EMP 474 java developer resume,0.2376,0.0,0.0,0.3457,ranked_candidate,"Ranked using semantic match 0.2376, effective capacity 0.0 hours, and current utilization 0%."
5,proj_ecommerce_overhaul,97502.13,32.56,EMP-002,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Marcus Brody,0.32,5.7,10.35,0.3348,ranked_candidate,"Ranked using semantic match 0.32, effective capacity 5.7 hours, and current utilization 85%."
6,proj_ecommerce_overhaul,97502.13,32.56,EMP-001,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Alex Rivera,0.2984,6.0,10.35,0.3231,ranked_candidate,"Ranked using semantic match 0.2984, effective capacity 6.0 hours, and current utilization 85%."
7,proj_ecommerce_overhaul,97502.13,32.56,EMP-007,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Tariq Mansoor,0.26,1.94,10.45,0.2643,ranked_candidate,"Ranked using semantic match 0.26, effective capacity 1.94 hours, and current utilization 95%."
8,proj_ecommerce_overhaul,97502.13,32.56,EMP-006,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Sarah Chen,0.0,34.0,9.5,0.1624,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 34.0 hours, and current utilization 0%."
9,proj_ecommerce_overhaul,97502.13,32.56,EMP-205,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Sharvesh Mahi,0.0,34.0,9.5,0.1624,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 34.0 hours, and current utilization 0%."
10,proj_ecommerce_overhaul,97502.13,32.56,EMP-004,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Devon Vance,0.0,7.52,10.3,0.0649,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 7.52 hours, and current utilization 80%."
11,proj_ecommerce_overhaul,97502.13,32.56,EMP-003,4,"{""Python"": 2, ""React"": 1, ""SQL"": 1}",Elena Rostova,0.0,3.6,10.4,0.0524,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 3.6 hours, and current utilization 90%."
