rank,project_id,project_weight,sla_risk,employee_id,estimated_people,skill_staffing,employee_name,semantic_match,effective_hours,projected_utilization,final_score,decision,reason
1,proj_fintech_portal,135722.15,5.0,EMP-393_java_developer_resume,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",EMP 393 java developer resume,0.1824,0.0,0.0,0.3503,ranked_candidate,"Ranked using semantic match 0.1824, effective capacity 0.0 hours, and current utilization 0%."
2,proj_fintech_portal,135722.15,5.0,EMP-466_java_developer_resume,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",EMP 466 java developer resume,0.1824,0.0,0.0,0.3503,ranked_candidate,"Ranked using semantic match 0.1824, effective capacity 0.0 hours, and current utilization 0%."
3,proj_fintech_portal,135722.15,5.0,EMP-474_java_developer_resume,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",EMP 474 java developer resume,0.1824,0.0,0.0,0.3503,ranked_candidate,"Ranked using semantic match 0.1824, effective capacity 0.0 hours, and current utilization 0%."
4,proj_fintech_portal,135722.15,5.0,EMP-005,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Priya Sharma,0.14,35.2,5.0,0.346,ranked_candidate,"Ranked using semantic match 0.14, effective capacity 35.2 hours, and current utilization 0%."
5,proj_fintech_portal,135722.15,5.0,EMP-006,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Sarah Chen,0.14,34.0,5.0,0.3445,ranked_candidate,"Ranked using semantic match 0.14, effective capacity 34.0 hours, and current utilization 0%."
6,proj_fintech_portal,135722.15,5.0,EMP-003,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Elena Rostova,0.26,3.6,5.9,0.3325,ranked_candidate,"Ranked using semantic match 0.26, effective capacity 3.6 hours, and current utilization 90%."
7,proj_fintech_portal,135722.15,5.0,EMP-001,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Alex Rivera,0.1832,6.0,5.85,0.2733,ranked_candidate,"Ranked using semantic match 0.1832, effective capacity 6.0 hours, and current utilization 85%."
8,proj_fintech_portal,135722.15,5.0,EMP-205,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Sharvesh Mahi,0.0,34.0,5.0,0.2425,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 34.0 hours, and current utilization 0%."
9,proj_fintech_portal,135722.15,5.0,EMP-002,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Marcus Brody,0.14,5.7,5.85,0.2241,ranked_candidate,"Ranked using semantic match 0.14, effective capacity 5.7 hours, and current utilization 85%."
10,proj_fintech_portal,135722.15,5.0,EMP-007,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Tariq Mansoor,0.14,1.94,5.95,0.2094,ranked_candidate,"Ranked using semantic match 0.14, effective capacity 1.94 hours, and current utilization 95%."
11,proj_fintech_portal,135722.15,5.0,EMP-004,3,"{""Figma"": 1, ""React"": 1, ""SQL"": 1}",Devon Vance,0.0,7.52,5.8,0.1294,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 7.52 hours, and current utilization 80%."
