rank,project_id,project_weight,sla_risk,employee_id,estimated_people,skill_staffing,employee_name,semantic_match,effective_hours,projected_utilization,final_score,decision,reason
1,recruitment,16158.44,21.0,EMP-393_java_developer_resume,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",EMP 393 java developer resume,0.287,0.0,0.0,0.4412,ranked_candidate,"Ranked using semantic match 0.287, effective capacity 0.0 hours, and current utilization 0%."
2,recruitment,16158.44,21.0,EMP-466_java_developer_resume,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",EMP 466 java developer resume,0.287,0.0,0.0,0.4412,ranked_candidate,"Ranked using semantic match 0.287, effective capacity 0.0 hours, and current utilization 0%."
3,recruitment,16158.44,21.0,EMP-474_java_developer_resume,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",EMP 474 java developer resume,0.287,0.0,0.0,0.4412,ranked_candidate,"Ranked using semantic match 0.287, effective capacity 0.0 hours, and current utilization 0%."
4,recruitment,16158.44,21.0,EMP-005,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Priya Sharma,0.128,35.2,4.0,0.3287,ranked_candidate,"Ranked using semantic match 0.128, effective capacity 35.2 hours, and current utilization 0%."
5,recruitment,16158.44,21.0,EMP-205,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Sharvesh Mahi,0.128,34.0,4.0,0.3269,ranked_candidate,"Ranked using semantic match 0.128, effective capacity 34.0 hours, and current utilization 0%."
6,recruitment,16158.44,21.0,EMP-006,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Sarah Chen,0.1162,34.0,4.0,0.3204,ranked_candidate,"Ranked using semantic match 0.1162, effective capacity 34.0 hours, and current utilization 0%."
7,recruitment,16158.44,21.0,EMP-002,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Marcus Brody,0.2,5.7,4.85,0.2772,ranked_candidate,"Ranked using semantic match 0.2, effective capacity 5.7 hours, and current utilization 85%."
8,recruitment,16158.44,21.0,EMP-001,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Alex Rivera,0.1747,6.0,4.85,0.2638,ranked_candidate,"Ranked using semantic match 0.1747, effective capacity 6.0 hours, and current utilization 85%."
9,recruitment,16158.44,21.0,EMP-007,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Tariq Mansoor,0.128,1.94,4.95,0.1818,ranked_candidate,"Ranked using semantic match 0.128, effective capacity 1.94 hours, and current utilization 95%."
10,recruitment,16158.44,21.0,EMP-004,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Devon Vance,0.0,7.52,4.8,0.1151,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 7.52 hours, and current utilization 80%."
11,recruitment,16158.44,21.0,EMP-003,4,"{""Java"": 1, ""Microservices"": 1, ""SQL"": 1, ""Spring Boot"": 1}",Elena Rostova,0.0,3.6,4.9,0.099,ranked_candidate,"Ranked using semantic match 0.0, effective capacity 3.6 hours, and current utilization 90%."
